timestamp,actual_x,actual_y,actual_theta,target_id,target_name,target_type,target_info,planned_x,planned_y,planned_theta,error_distance,error_angle,cur_ie,cur_ir
2025-05-02 11:06:41,-2.81373,-0.085199,171.028,N_225283,LOC_2,GOAL,BQR_CODE_NUM,-1
,-2.84766,-0.0776157,170.447,0.0347701,0.580371,0.0466663,0.974727
2025-05-02 11:07:09,-0.49688,-0.421211,168.664,N_237082,LOC_3,GOAL,,-0.515105,-0.421036,169.216,0.018226,0.552016,0.0298541,0.930619
2025-05-02 11:07:22,-2.81114,-0.0877525,171.031,N_225283,LOC_2,GOAL,BQR_CODE_NUM,-1
,-2.84766,-0.0776157,170.447,0.0379003,0.583715,0.0470109,0.975904
2025-05-02 11:07:50,-0.497565,-0.420976,168.67,N_237082,LOC_3,GOAL,,-0.515105,-0.421036,169.216,0.0175399,0.545891,0.0299446,0.931922
2025-05-02 11:08:03,-2.80525,-0.0882325,171.042,N_225283,LOC_2,GOAL,BQR_CODE_NUM,-1
,-2.84766,-0.0776157,170.447,0.0437207,0.594252,0.0465543,0.977638
2025-05-02 11:08:31,-0.497931,-0.422573,168.646,N_237082,LOC_3,GOAL,,-0.515105,-0.421036,169.216,0.017242,0.569553,0.0288342,0.931034
2025-05-02 11:08:44,-2.81432,-0.0824518,171.053,N_225283,LOC_2,GOAL,BQR_CODE_NUM,-1
,-2.84766,-0.0776157,170.447,0.0336883,0.605258,0.0476151,0.957275
2025-05-02 11:09:12,-0.503288,-0.420241,168.685,N_237082,LOC_3,GOAL,,-0.515105,-0.421036,169.216,0.0118431,0.53065,0.0287146,0.930475
2025-05-02 11:09:25,-2.81541,-0.083285,171.075,N_225283,LOC_2,GOAL,BQR_CODE_NUM,-1
,-2.84766,-0.0776157,170.447,0.0327384,0.627907,0.0477783,0.946305
2025-05-02 11:09:53,-0.508226,-0.419798,168.536,N_237082,LOC_3,GOAL,,-0.515105,-0.421036,169.216,0.00698871,0.679713,0.0279293,0.921911
2025-05-02 11:10:06,-2.80922,-0.0846991,171.007,N_225283,LOC_2,GOAL,BQR_CODE_NUM,-1
,-2.84766,-0.0776157,170.447,0.0390868,0.559948,0.0492647,0.937464
2025-05-02 11:10:34,-0.509319,-0.419524,168.65,N_237082,LOC_3,GOAL,,-0.515105,-0.421036,169.216,0.0059801,0.56553,0.0292562,0.923478
2025-05-02 11:10:47,-2.81269,-0.0823402,170.967,N_225283,LOC_2,GOAL,BQR_CODE_NUM,-1
,-2.84766,-0.0776157,170.447,0.0352836,0.519203,0.0486501,0.938002
2025-05-02 11:11:15,-0.508353,-0.419848,168.487,N_237082,LOC_3,GOAL,,-0.515105,-0.421036,169.216,0.0068551,0.728396,0.0290748,0.923077
2025-05-02 11:11:28,-2.81402,-0.0841302,171.006,N_225283,LOC_2,GOAL,BQR_CODE_NUM,-1
,-2.84766,-0.0776157,170.447,0.0342659,0.558427,0.0489432,0.937103
2025-05-02 11:11:56,-0.502629,-0.42079,168.616,N_237082,LOC_3,GOAL,,-0.515105,-0.421036,169.216,0.012478,0.599296,0.0282026,0.922762
2025-05-02 11:12:09,-2.81088,-0.0852719,171.02,N_225283,LOC_2,GOAL,BQR_CODE_NUM,-1
,-2.84766,-0.0776157,170.447,0.0375641,0.572869,0.0486077,0.936563
2025-05-02 11:12:37,-0.504141,-0.421158,168.625,N_237082,LOC_3,GOAL,,-0.515105,-0.421036,169.216,0.010964,0.590845,0.0283638,0.922494
2025-05-02 11:12:50,-2.80978,-0.0849145,171.069,N_225283,LOC_2,GOAL,BQR_CODE_NUM,-1
,-2.84766,-0.0776157,170.447,0.0385709,0.621758,0.0470626,0.937248
2025-05-02 11:13:18,-0.507285,-0.41908,168.552,N_237082,LOC_3,GOAL,,-0.515105,-0.421036,169.216,0.0080601,0.663896,0.0272838,0.925538
2025-05-02 11:13:31,-2.81033,-0.0862527,171.126,N_225283,LOC_2,GOAL,BQR_CODE_NUM,-1
,-2.84766,-0.0776157,170.447,0.0383157,0.678785,0.0471392,0.933562
2025-05-02 11:13:59,-0.504622,-0.418724,168.587,N_237082,LOC_3,GOAL,,-0.515105,-0.421036,169.216,0.0107344,0.628434,0.0277016,0.925797
2025-05-02 11:14:12,-2.80998,-0.0834488,171.034,N_225283,LOC_2,GOAL,BQR_CODE_NUM,-1
,-2.84766,-0.0776157,170.447,0.0381228,0.586069,0.0480188,0.942319
2025-05-02 11:14:40,-0.504998,-0.421168,168.568,N_237082,LOC_3,GOAL,,-0.515105,-0.421036,169.216,0.0101078,0.647621,0.0311665,0.89866
2025-05-02 11:14:53,-2.81234,-0.0843342,171.051,N_225283,LOC_2,GOAL,BQR_CODE_NUM,-1
,-2.84766,-0.0776157,170.447,0.0359515,0.603875,0.0483206,0.947608
2025-05-02 11:15:21,-0.506697,-0.422463,168.658,N_237082,LOC_3,GOAL,,-0.515105,-0.421036,169.216,0.00852805,0.557715,0.0338076,0.925416
2025-05-02 11:15:34,-2.80962,-0.0855735,171.15,N_225283,LOC_2,GOAL,BQR_CODE_NUM,-1
,-2.84766,-0.0776157,170.447,0.0388574,0.702911,0.0509078,0.928856
2025-05-02 11:16:02,-0.503375,-0.422756,168.63,N_237082,LOC_3,GOAL,,-0.515105,-0.421036,169.216,0.0118552,0.585272,0.0344876,0.925714
2025-05-02 11:16:15,-2.81322,-0.0833942,171.049,N_225283,LOC_2,GOAL,BQR_CODE_NUM,-1
,-2.84766,-0.0776157,170.447,0.0349216,0.601353,0.0486381,0.929594
2025-05-02 11:16:43,-0.506895,-0.420172,168.67,N_237082,LOC_3,GOAL,,-0.515105,-0.421036,169.216,0.00825483,0.546012,0.0288937,0.926505
2025-05-02 11:16:56,-2.8129,-0.0884823,171.033,N_225283,LOC_2,GOAL,BQR_CODE_NUM,-1
,-2.84766,-0.0776157,170.447,0.036419,0.58534,0.0504545,0.934493
2025-05-02 11:17:24,-0.506185,-0.41906,168.658,N_237082,LOC_3,GOAL,,-0.515105,-0.421036,169.216,0.0091361,0.557846,0.0290582,0.926957
2025-05-02 11:17:37,-2.81136,-0.0878065,171.045,N_225283,LOC_2,GOAL,BQR_CODE_NUM,-1
,-2.84766,-0.0776157,170.447,0.0376994,0.598001,0.0499057,0.935277
2025-05-02 11:18:05,-0.502463,-0.420851,168.637,N_237082,LOC_3,GOAL,,-0.515105,-0.421036,169.216,0.0126427,0.579014,0.0284716,0.92612
2025-05-02 11:18:18,-2.81567,-0.0886446,171.08,N_225283,LOC_2,GOAL,BQR_CODE_NUM,-1
,-2.84766,-0.0776157,170.447,0.0338358,0.632516,0.0483283,0.92
